symbol: LDOGE/BTC, SP: 4e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: LEMON/BTC, SP: 1.9e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: LEPEN/BTC, SP: 3e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: LIT/BTC, SP: 4.8e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: LIZI/BTC, SP: 0.00001152, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: LTB/BTC, SP: 0.00028936, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: LTC/BTC, SP: 0.01563835, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MAC/BTC, SP: 0.00000243, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MAID/BTC, SP: 0.00019383, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MAR/BTC, SP: 0.00007873, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MARS/BTC, SP: 6.9e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MARX/BTC, SP: 1.3e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MCRN/BTC, SP: 7e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MEC/BTC, SP: 0.00011258, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MER/BTC, SP: 0.00000648, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MINT/BTC, SP: 5e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MLITE/BTC, SP: 3e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MNE/BTC, SP: 0.00264949, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MNM/BTC, SP: 0.00000935, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MOIN/BTC, SP: 0.00003738, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MOJO/BTC, SP: 0.00000341, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MOTO/BTC, SP: 4e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MST/BTC, SP: 0.00001855, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MTLMC/BTC, SP: 2.2e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MUE/BTC, SP: 0.00005098, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: MUSIC/BTC, SP: 0.00001161, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
